Business Name,Customer Last Name,Customer First Name,Civic Nbr,Street,Location Latitude,Location Longitude,RFID,Capacity,Capacity Units,Color,Container Type,Manufacturer,Route 1,SeqNbr 1,Route 2,SeqNbr 2,Route 3,SeqNbr 3,Route 4,SeqNbr 4,Route 5,SeqNbr 5,Route 6,SeqNbr 6,Route 7,SeqNbr 7,Route 8,SeqNbr 8,Route 9,SeqNbr 9,Route 10,SeqNbr 10,Route 11,SeqNbr 11,Route 12,SeqNbr 12,Route 13,SeqNbr 13,Route 14,SeqNbr 14
College of Textiles,College,of Textiles,1000,Main Campus Dr.,35.77054903,-78.67880048,0000FRR22478062930000075,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RFriSpot1,76,RMonSpot1,97,RWedSpot1,82,,,,,,,,,,,,,,,,,,,,,,
College of Textiles,College,of Textiles,1000,Main Campus Dr.,35.77054903,-78.67880048,0000FRR224720827f0000046,4,Yard,RED,DUMPSTER,WASTEQUIP,RThrSpot1,81,,,,,,,,,,,,,,,,,,,,,,,,,,
College of Textiles,College,of Textiles,1000,Main Campus Dr.,35.77054903,-78.67880048,0000FRR224720827f0000046,4,Yard,RED,DUMPSTER,WASTEQUIP,RThrSpot1,82,,,,,,,,,,,,,,,,,,,,,,,,,,
College of Textiles,College,of Textiles,1000,Main Campus Dr.,35.77054903,-78.67880048,0000FRR224720827f0000048,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonSpot1,94,RSatSpot1,91,RThrSpot1,85,,,,,,,,,,,,,,,,,,,,,,
College of Textiles,College,of Textiles,1000,Main Campus Dr.,35.77054903,-78.67880048,0000FRR224720827f0000048,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RMonSpot1,95,RSatSpot1,92,RThrSpot1,86,,,,,,,,,,,,,,,,,,,,,,
CVM Grounds Shop,CVM, Grounds Shop,1121,Ruminant Lane,35.7996615,-78.701764,0000FRR224720827f000001e,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RThrWaste2,45,,,,,,,,,,,,,,,,,,,,,,,,,,
CVM Main Building,CVM,Main Building,1060-C,William Moore Dr.,35.79818353,-78.70443721,0000FRR22478062920000040,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,31,,,,,,,,,,,,,,,,,,,,,,,,,,
CVM Main Building,CVM,Main Building,1060-A,William Moore Dr.,35.80029521,-78.70428467,0000FRR22478062920000036,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,32,,,,,,,,,,,,,,,,,,,,,,,,,,
CVM Main Building,CVM,Main Building,1060-B,William Moore Dr.,35.79882495,-78.70410156,0000FRR22478062920000037,8,Yard,GREEN,DUMPSTER,WASTEQUIP,RThrOcc1,36,RTueOcc1,4,RWedMR1,62,,,,,,,,,,,,,,,,,,,,,,
CVM Main Building,CVM,Main Building,1060-C,William Moore Dr.,35.79818353,-78.70443721,0000FRR22669052d10000008,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RWedWaste1,39,RFriWaste2,43,RMonWaste1,43,,,,,,,,,,,,,,,,,,,,,,
CVM Main Building,CVM,Main Building,1060-D,William Moore Dr.,35.79923089,-78.70430298,0000FRR22668195160000002,8,Yard,BROWN,DUMPSTER,WASTEQUIP,RWedWaste1,40,RFriWaste2,44,RMonWaste1,39,,,,,,,,,,,,,,,,,,,,,,
